name,category,price,stock
TRIPLE ACE 250ML,Whiskey,300,
TUSKER CIDER CAN,Beers,300,
TUSKER LAGER CAN,Beers,300,
TUSKER LITE 500ML CAN,Beers,300,
TUSKER MALT CAN,Beers,300,
VAT 69 1 LTR,Whiskey,2100,
VAT 69 350ML,Whiskey,1000,
VERO,Soft Drinks,100,
VICEROY 250ML,Brandy,650,
VICEROY 350ML,Brandy,900,
VICEROY 750ML,Brandy,1600,
WATER 1 LTR,Mineral Water,100,
WHITE CAP CAN,Beers,300,
WILLIAM LAWSONS 1L,Whiskey,0,
WILLIAM LAWSONS 750ML,Whiskey,0,
